,Donor,chr-pos,n_syn,n_nsyn,n_coding,n_all
56,DO220845,1-27,0,0,0,3
57,DO37659,1-27,0,0,0,0
58,DO220884,1-27,0,0,0,0
59,DO220894,1-27,0,0,0,0
60,DO220861,1-27,0,0,0,0
61,DO220871,1-27,0,0,0,3
62,DO220848,1-27,0,0,0,2
63,DO220860,1-27,0,0,0,0
64,DO37409,1-27,0,0,0,0
65,DO220859,1-27,0,0,0,0
66,DO220911,1-27,0,0,0,0
67,DO37587,1-27,0,0,0,16
68,DO37627,1-27,0,0,0,0
69,DO37418,1-27,0,0,0,0
70,DO220891,1-27,0,0,0,0
71,DO220841,1-27,0,0,0,4
72,DO220878,1-27,0,0,0,0
73,DO37445,1-27,0,0,0,1
74,DO220892,1-27,0,0,0,4
75,DO220913,1-27,0,0,0,0
76,DO37427,1-27,0,0,0,4
77,DO47331,1-27,0,0,0,0
78,DO220842,1-27,0,0,0,30
79,DO220846,1-27,0,0,0,6
80,DO220908,1-27,0,0,0,0
81,DO220879,1-27,0,0,0,0
82,DO220904,1-27,0,0,0,13
83,DO37750,1-27,0,0,0,0
84,DO220895,1-27,0,0,0,0
85,DO220849,1-27,0,0,0,4
86,DO220857,1-27,0,0,0,0
87,DO37426,1-27,0,0,0,0
88,DO37599,1-27,0,0,0,24
89,DO37719,1-27,0,0,0,54
90,DO220853,1-27,0,0,0,0
91,DO37758,1-27,0,0,0,13
92,DO220906,1-27,0,0,0,0
93,DO220865,1-27,0,0,0,2
94,DO37782,1-27,0,0,0,0
95,DO220882,1-27,0,0,0,0
96,DO220867,1-27,0,0,0,3
97,DO220850,1-27,0,0,0,0
98,DO220905,1-27,0,0,0,0
99,DO220880,1-27,0,0,0,0
100,DO220896,1-27,0,0,0,0
101,DO220873,1-27,0,0,0,0
102,DO47255,1-27,0,0,0,0
103,DO220852,1-27,0,0,0,0
104,DO38129,1-27,0,0,0,0
105,DO37723,1-27,0,0,0,3
106,DO37432,1-28,0,0,0,0
107,DO37827,1-28,0,0,0,0
108,DO220887,1-28,0,0,0,0
109,DO220872,1-28,0,0,0,0
110,DO47268,1-28,0,0,0,0
111,DO220889,1-28,0,0,0,0
112,DO37896,1-28,0,0,0,0
113,DO220862,1-28,0,0,0,0
114,DO220863,1-28,0,0,0,0
115,DO37435,1-28,0,0,0,0
116,DO47451,1-28,0,0,0,4
117,DO220885,1-28,0,0,0,0
118,DO220843,1-28,0,0,0,0
119,DO220870,1-28,0,0,0,3
120,DO220890,1-28,0,0,0,0
121,DO220855,1-28,0,0,0,0
122,DO220847,1-28,0,0,0,0
123,DO220901,1-28,0,0,0,0
124,DO37861,1-28,0,0,0,0
125,DO37515,1-28,0,0,0,0
126,DO220899,1-28,0,0,0,0
127,DO220907,1-28,0,0,0,0
128,DO220851,1-28,0,0,0,0
129,DO220900,1-28,0,0,0,0
130,DO220874,1-28,0,0,0,0
131,DO220875,1-28,0,0,0,0
132,DO220864,1-28,0,0,0,2
133,DO220869,1-28,0,0,0,1
134,DO220844,1-28,0,0,0,3
135,DO37425,1-28,0,0,0,0
136,DO220883,1-28,0,0,0,0
137,DO37439,1-28,0,0,0,0
138,DO51251,1-28,0,0,0,7
139,DO37474,1-28,0,0,0,0
140,DO37527,1-28,0,0,0,2
141,DO220866,1-28,0,0,0,10
142,DO37607,1-28,0,0,0,0
143,DO220903,1-28,0,0,0,0
144,DO220868,1-28,0,0,0,3
145,DO37946,1-28,0,0,0,0
146,DO47542,1-28,0,0,0,0
147,DO220893,1-28,0,0,0,0
148,DO220858,1-28,0,0,0,1
149,DO220888,1-28,0,0,0,2
150,DO220897,1-28,0,0,0,0
151,DO220886,1-28,0,0,0,0
152,DO220877,1-28,0,0,0,0
153,DO220902,1-28,0,0,0,0
154,DO37424,1-28,0,0,0,25
155,DO37531,1-28,0,0,0,0
156,DO37703,1-28,0,0,0,0
157,DO220912,1-28,0,0,0,0
158,DO37440,1-28,0,0,0,0
159,DO220898,1-28,0,0,0,0
160,DO220910,1-28,0,0,0,0
161,DO220881,1-28,0,0,0,0
162,DO220845,1-28,0,0,0,2
163,DO37659,1-28,0,0,0,0
164,DO220884,1-28,0,0,0,0
165,DO220894,1-28,0,0,0,0
166,DO220861,1-28,0,0,0,0
167,DO220871,1-28,0,0,0,0
168,DO220848,1-28,0,0,0,1
169,DO220860,1-28,0,0,0,0
170,DO37409,1-28,0,0,0,0
171,DO220859,1-28,0,0,0,0
172,DO220911,1-28,0,0,0,0
173,DO37587,1-28,0,0,0,10
174,DO37627,1-28,0,0,0,0
175,DO37418,1-28,0,0,0,0
176,DO220891,1-28,0,0,0,0
177,DO220841,1-28,0,0,0,5
178,DO220878,1-28,0,0,0,0
179,DO37445,1-28,0,0,0,2
180,DO220892,1-28,0,0,0,1
181,DO220913,1-28,0,0,0,0
182,DO37427,1-28,0,0,0,3
183,DO47331,1-28,0,0,0,0
184,DO220842,1-28,0,1,1,25
185,DO220846,1-28,0,0,0,3
186,DO220908,1-28,0,0,0,0
187,DO220879,1-28,0,0,0,0
188,DO220904,1-28,0,0,0,11
189,DO37750,1-28,0,0,0,0
190,DO220895,1-28,0,0,0,0
191,DO220849,1-28,0,0,0,5
192,DO220857,1-28,0,0,0,0
193,DO37426,1-28,0,0,0,0
194,DO37599,1-28,0,0,0,20
195,DO37719,1-28,0,0,0,41
196,DO220853,1-28,0,0,0,0
197,DO37758,1-28,0,0,0,10
198,DO220906,1-28,0,0,0,0
199,DO220865,1-28,0,0,0,3
200,DO37782,1-28,0,0,0,0
201,DO220882,1-28,0,0,0,0
202,DO220867,1-28,0,0,0,4
203,DO220850,1-28,0,0,0,0
204,DO220905,1-28,0,0,0,0
205,DO220880,1-28,0,0,0,0
206,DO220896,1-28,0,0,0,0
207,DO220873,1-28,0,0,0,0
208,DO47255,1-28,0,0,0,0
209,DO220852,1-28,0,0,0,0
210,DO38129,1-28,0,0,0,0
211,DO37723,1-28,0,0,0,1
212,DO37432,1-29,0,0,0,0
213,DO37827,1-29,0,0,0,0
214,DO220887,1-29,0,0,0,0
215,DO220872,1-29,0,0,0,0
216,DO47268,1-29,0,0,0,0
217,DO220889,1-29,0,0,0,0
218,DO37896,1-29,0,0,0,0
219,DO220862,1-29,0,0,0,0
220,DO220863,1-29,0,0,0,0
221,DO37435,1-29,0,0,0,0
222,DO47451,1-29,0,0,0,0
223,DO220885,1-29,0,0,0,0
224,DO220843,1-29,0,0,0,3
225,DO220870,1-29,0,0,0,3
226,DO220890,1-29,0,0,0,0
227,DO220855,1-29,0,0,0,0
228,DO220847,1-29,0,0,0,1
229,DO220901,1-29,0,0,0,0
230,DO37861,1-29,0,0,0,0
231,DO37515,1-29,0,0,0,0
232,DO220899,1-29,0,0,0,0
233,DO220907,1-29,0,0,0,0
234,DO220851,1-29,0,0,0,0
235,DO220900,1-29,0,0,0,0
236,DO220874,1-29,0,0,0,0
237,DO220875,1-29,0,0,0,0
238,DO220864,1-29,0,0,0,4
239,DO220869,1-29,0,0,0,1
240,DO220844,1-29,0,0,0,2
241,DO37425,1-29,0,0,0,0
242,DO220883,1-29,0,0,0,0
243,DO37439,1-29,0,0,0,0
244,DO51251,1-29,0,0,0,0
245,DO37474,1-29,0,0,0,0
246,DO37527,1-29,0,0,0,2
247,DO220866,1-29,0,0,0,6
248,DO37607,1-29,0,0,0,0
249,DO220903,1-29,0,0,0,0
250,DO220868,1-29,0,0,0,3
251,DO37946,1-29,0,0,0,0
252,DO47542,1-29,0,0,0,0
253,DO220893,1-29,0,0,0,0
254,DO220858,1-29,0,0,0,1
255,DO220888,1-29,0,0,0,0
256,DO220897,1-29,0,0,0,0
257,DO220886,1-29,0,0,0,0
258,DO220877,1-29,0,0,0,0
259,DO220902,1-29,0,0,0,0
260,DO37424,1-29,0,0,0,7
261,DO37531,1-29,0,0,0,0
262,DO37703,1-29,0,0,0,0
263,DO220912,1-29,0,0,0,0
264,DO37440,1-29,0,0,0,0
265,DO220898,1-29,0,0,0,0
266,DO220910,1-29,0,0,0,0
267,DO220881,1-29,0,0,0,0
268,DO220845,1-29,0,0,0,1
269,DO37659,1-29,0,0,0,0
270,DO220884,1-29,0,0,0,0
271,DO220894,1-29,0,0,0,0
272,DO220861,1-29,0,0,0,0
273,DO220871,1-29,0,0,0,2
274,DO220848,1-29,0,0,0,1
275,DO220860,1-29,0,0,0,0
276,DO37409,1-29,0,0,0,0
277,DO220859,1-29,0,0,0,0
278,DO220911,1-29,0,0,0,0
279,DO37587,1-29,0,0,0,3
280,DO37627,1-29,0,0,0,0
281,DO37418,1-29,0,0,0,0
282,DO220891,1-29,0,0,0,0
283,DO220841,1-29,0,0,0,2
284,DO220878,1-29,0,0,0,0
285,DO37445,1-29,0,0,0,0
286,DO220892,1-29,0,0,0,0
287,DO220913,1-29,0,0,0,0
288,DO37427,1-29,0,0,0,1
289,DO47331,1-29,0,0,0,0
290,DO220842,1-29,0,0,0,5
291,DO220846,1-29,0,0,0,1
292,DO220908,1-29,0,0,0,0
293,DO220879,1-29,0,0,0,0
294,DO220904,1-29,0,0,0,5
295,DO37750,1-29,0,0,0,0
296,DO220895,1-29,0,0,0,0
297,DO220849,1-29,0,0,0,2
298,DO220857,1-29,0,0,0,0
299,DO37426,1-29,0,0,0,0
300,DO37599,1-29,0,0,0,10
301,DO37719,1-29,0,1,1,17
302,DO220853,1-29,0,0,0,0
303,DO37758,1-29,0,1,1,5
304,DO220906,1-29,0,0,0,0
305,DO220865,1-29,0,0,0,2
306,DO37782,1-29,0,0,0,0
307,DO220882,1-29,0,0,0,0
308,DO220867,1-29,0,0,0,1
309,DO220850,1-29,0,0,0,0
310,DO220905,1-29,0,0,0,0
311,DO220880,1-29,0,0,0,0
312,DO220896,1-29,0,0,0,0
313,DO220873,1-29,0,0,0,0
314,DO47255,1-29,0,0,0,0
315,DO220852,1-29,0,0,0,0
316,DO38129,1-29,0,0,0,0
317,DO37723,1-29,0,0,0,2
318,DO37432,1-30,0,0,0,0
319,DO37827,1-30,0,0,0,0
320,DO220887,1-30,0,0,0,0
321,DO220872,1-30,0,0,0,0
322,DO47268,1-30,0,0,0,0
323,DO220889,1-30,0,0,0,0
324,DO37896,1-30,0,0,0,0
325,DO220862,1-30,0,0,0,0
326,DO220863,1-30,0,0,0,3
327,DO37435,1-30,0,0,0,0
328,DO47451,1-30,0,0,0,2
329,DO220885,1-30,0,0,0,0
330,DO220843,1-30,0,0,0,1
331,DO220870,1-30,0,0,0,1
332,DO220890,1-30,0,0,0,0
333,DO220855,1-30,0,0,0,0
334,DO220847,1-30,0,0,0,3
335,DO220901,1-30,0,0,0,0
336,DO37861,1-30,0,0,0,0
337,DO37515,1-30,0,0,0,0
338,DO220899,1-30,0,0,0,0
339,DO220907,1-30,0,0,0,0
340,DO220851,1-30,0,0,0,0
341,DO220900,1-30,0,0,0,0
342,DO220874,1-30,0,0,0,0
343,DO220875,1-30,0,0,0,0
344,DO220864,1-30,0,0,0,7
345,DO220869,1-30,0,0,0,0
346,DO220844,1-30,0,0,0,2
347,DO37425,1-30,0,0,0,0
348,DO220883,1-30,0,0,0,0
349,DO37439,1-30,0,0,0,0
350,DO51251,1-30,0,0,0,2
351,DO37474,1-30,0,0,0,0
352,DO37527,1-30,0,0,0,5
353,DO220866,1-30,0,1,1,12
354,DO37607,1-30,0,0,0,0
355,DO220903,1-30,0,0,0,0
356,DO220868,1-30,0,0,0,4
357,DO37946,1-30,0,0,0,0
358,DO47542,1-30,0,0,0,0
359,DO220893,1-30,0,0,0,0
360,DO220858,1-30,0,0,0,1
361,DO220888,1-30,0,0,0,5
362,DO220897,1-30,0,0,0,0
363,DO220886,1-30,0,0,0,0
364,DO220877,1-30,0,0,0,0
365,DO220902,1-30,0,0,0,0
366,DO37424,1-30,0,0,0,7
367,DO37531,1-30,0,0,0,0
368,DO37703,1-30,0,0,0,0
369,DO220912,1-30,0,0,0,0
370,DO37440,1-30,0,0,0,0
371,DO220898,1-30,0,0,0,0
372,DO220910,1-30,0,0,0,0
373,DO220881,1-30,0,0,0,0
374,DO220845,1-30,0,0,0,3
375,DO37659,1-30,0,0,0,0
376,DO220884,1-30,0,0,0,0
377,DO220894,1-30,0,0,0,0
378,DO220861,1-30,0,0,0,0
379,DO220871,1-30,0,0,0,3
380,DO220848,1-30,0,0,0,1
381,DO220860,1-30,0,0,0,0
382,DO37409,1-30,0,0,0,0
383,DO220859,1-30,0,0,0,0
384,DO220911,1-30,0,0,0,0
385,DO37587,1-30,0,0,0,6
386,DO37627,1-30,0,0,0,0
387,DO37418,1-30,0,0,0,0
388,DO220891,1-30,0,0,0,0
389,DO220841,1-30,0,0,0,3
390,DO220878,1-30,0,0,0,0
391,DO37445,1-30,0,0,0,3
392,DO220892,1-30,0,0,0,2
393,DO220913,1-30,0,0,0,0
394,DO37427,1-30,0,0,0,1
395,DO47331,1-30,0,0,0,0
396,DO220842,1-30,0,0,0,13
397,DO220846,1-30,0,0,0,7
398,DO220908,1-30,0,0,0,0
399,DO220879,1-30,0,0,0,0
400,DO220904,1-30,0,1,1,7
401,DO37750,1-30,0,0,0,0
402,DO220895,1-30,0,0,0,0
403,DO220849,1-30,0,0,0,3
404,DO220857,1-30,0,0,0,0
405,DO37426,1-30,0,0,0,0
406,DO37599,1-30,0,0,0,18
407,DO37719,1-30,0,1,1,40
408,DO220853,1-30,0,0,0,0
409,DO37758,1-30,0,0,0,3
410,DO220906,1-30,0,0,0,0
411,DO220865,1-30,0,0,0,5
412,DO37782,1-30,0,0,0,0
413,DO220882,1-30,0,0,0,0
414,DO220867,1-30,0,0,0,0
415,DO220850,1-30,0,0,0,0
416,DO220905,1-30,0,0,0,0
417,DO220880,1-30,0,0,0,0
418,DO220896,1-30,0,0,0,0
419,DO220873,1-30,0,0,0,0
420,DO47255,1-30,0,0,0,0
421,DO220852,1-30,0,0,0,0
422,DO38129,1-30,0,0,0,0
423,DO37723,1-30,0,0,0,2
424,DO37432,1-31,0,0,0,0
425,DO37827,1-31,0,0,0,0
426,DO220887,1-31,0,0,0,0
427,DO220872,1-31,0,0,0,0
428,DO47268,1-31,0,0,0,0
429,DO220889,1-31,0,0,0,0
430,DO37896,1-31,0,0,0,0
431,DO220862,1-31,0,0,0,0
432,DO220863,1-31,0,0,0,3
433,DO37435,1-31,0,0,0,0
434,DO47451,1-31,0,0,0,2
435,DO220885,1-31,0,0,0,0
436,DO220843,1-31,0,0,0,2
437,DO220870,1-31,0,0,0,2
438,DO220890,1-31,0,0,0,0
439,DO220855,1-31,0,0,0,0
440,DO220847,1-31,0,0,0,1
441,DO220901,1-31,0,0,0,0
442,DO37861,1-31,0,0,0,0
443,DO37515,1-31,0,0,0,0
444,DO220899,1-31,0,0,0,0
445,DO220907,1-31,0,0,0,0
446,DO220851,1-31,0,0,0,0
447,DO220900,1-31,0,0,0,0
448,DO220874,1-31,0,0,0,0
449,DO220875,1-31,0,0,0,0
450,DO220864,1-31,0,0,0,6
451,DO220869,1-31,0,0,0,3
452,DO220844,1-31,0,0,0,2
453,DO37425,1-31,0,0,0,0
454,DO220883,1-31,0,0,0,0
455,DO37439,1-31,0,0,0,0
456,DO51251,1-31,0,0,0,4
457,DO37474,1-31,0,0,0,0
458,DO37527,1-31,0,0,0,5
459,DO220866,1-31,0,2,2,21
460,DO37607,1-31,0,0,0,0
461,DO220903,1-31,0,0,0,0
462,DO220868,1-31,0,0,0,4
463,DO37946,1-31,0,0,0,0
464,DO47542,1-31,0,0,0,0
465,DO220893,1-31,0,0,0,0
466,DO220858,1-31,0,0,0,4
467,DO220888,1-31,0,0,0,2
468,DO220897,1-31,0,0,0,0
469,DO220886,1-31,0,0,0,0
470,DO220877,1-31,0,0,0,0
471,DO220902,1-31,0,0,0,0
472,DO37424,1-31,0,0,0,26
473,DO37531,1-31,0,0,0,0
474,DO37703,1-31,0,0,0,0
475,DO220912,1-31,0,0,0,0
476,DO37440,1-31,0,0,0,0
477,DO220898,1-31,0,0,0,0
478,DO220910,1-31,0,0,0,0
479,DO220881,1-31,0,0,0,0
480,DO220845,1-31,0,0,0,0
481,DO37659,1-31,0,0,0,0
482,DO220884,1-31,0,0,0,0
483,DO220894,1-31,0,0,0,0
484,DO220861,1-31,0,0,0,0
485,DO220871,1-31,0,0,0,2
486,DO220848,1-31,0,0,0,1
487,DO220860,1-31,0,0,0,0
488,DO37409,1-31,0,0,0,0
489,DO220859,1-31,0,0,0,0
490,DO220911,1-31,0,0,0,0
491,DO37587,1-31,0,0,0,8
492,DO37627,1-31,0,0,0,0
493,DO37418,1-31,0,0,0,0
494,DO220891,1-31,0,0,0,0
495,DO220841,1-31,1,0,1,10
496,DO220878,1-31,0,0,0,0
497,DO37445,1-31,0,0,0,3
498,DO220892,1-31,0,0,0,3
499,DO220913,1-31,0,0,0,0
500,DO37427,1-31,0,0,0,6
501,DO47331,1-31,0,0,0,0
502,DO220842,1-31,0,0,0,18
503,DO220846,1-31,0,0,0,2
504,DO220908,1-31,0,0,0,0
505,DO220879,1-31,0,0,0,0
506,DO220904,1-31,0,0,0,8
507,DO37750,1-31,0,0,0,0
508,DO220895,1-31,0,0,0,0
509,DO220849,1-31,0,0,0,2
510,DO220857,1-31,0,0,0,0
511,DO37426,1-31,0,0,0,0
512,DO37599,1-31,0,0,0,19
513,DO37719,1-31,0,0,0,64
514,DO220853,1-31,0,0,0,0
515,DO37758,1-31,0,0,0,1
516,DO220906,1-31,0,0,0,0
517,DO220865,1-31,0,0,0,2
518,DO37782,1-31,0,0,0,0
519,DO220882,1-31,0,0,0,0
520,DO220867,1-31,0,0,0,1
521,DO220850,1-31,0,0,0,0
522,DO220905,1-31,0,0,0,0
523,DO220880,1-31,0,0,0,0
524,DO220896,1-31,0,0,0,0
525,DO220873,1-31,0,0,0,0
526,DO47255,1-31,0,0,0,0
527,DO220852,1-31,0,0,0,0
528,DO38129,1-31,0,0,0,0
529,DO37723,1-31,0,0,0,3
530,DO37432,1-32,0,0,0,0
531,DO37827,1-32,0,0,0,0
532,DO220887,1-32,0,0,0,0
533,DO220872,1-32,0,0,0,0
534,DO47268,1-32,0,0,0,0
535,DO220889,1-32,0,0,0,0
536,DO37896,1-32,0,0,0,0
537,DO220862,1-32,0,0,0,0
538,DO220863,1-32,0,0,0,1
539,DO37435,1-32,0,0,0,0
540,DO47451,1-32,0,0,0,1
541,DO220885,1-32,0,0,0,0
542,DO220843,1-32,0,0,0,3
543,DO220870,1-32,0,0,0,2
544,DO220890,1-32,0,0,0,0
545,DO220855,1-32,0,0,0,0
546,DO220847,1-32,0,0,0,1
547,DO220901,1-32,0,0,0,0
548,DO37861,1-32,0,0,0,0
549,DO37515,1-32,0,0,0,0
550,DO220899,1-32,0,0,0,0
551,DO220907,1-32,0,0,0,0
552,DO220851,1-32,0,0,0,0
553,DO220900,1-32,0,0,0,0
554,DO220874,1-32,0,0,0,0
555,DO220875,1-32,0,0,0,0
556,DO220864,1-32,0,0,0,3
557,DO220869,1-32,0,0,0,3
558,DO220844,1-32,0,0,0,1
559,DO37425,1-32,0,0,0,0
560,DO220883,1-32,0,0,0,0
561,DO37439,1-32,0,0,0,0
562,DO51251,1-32,0,0,0,2
563,DO37474,1-32,0,0,0,0
564,DO37527,1-32,0,0,0,0
565,DO220866,1-32,1,0,1,4
566,DO37607,1-32,0,0,0,0
567,DO220903,1-32,0,0,0,0
568,DO220868,1-32,0,0,0,3
569,DO37946,1-32,0,0,0,0
570,DO47542,1-32,0,0,0,0
571,DO220893,1-32,0,0,0,0
572,DO220858,1-32,0,0,0,2
573,DO220888,1-32,0,0,0,0
574,DO220897,1-32,0,0,0,0
575,DO220886,1-32,0,0,0,0
576,DO220877,1-32,0,0,0,0
577,DO220902,1-32,0,0,0,0
578,DO37424,1-32,0,0,0,4
579,DO37531,1-32,0,0,0,0
580,DO37703,1-32,0,0,0,0
581,DO220912,1-32,0,0,0,0
582,DO37440,1-32,0,0,0,0
583,DO220898,1-32,0,0,0,0
584,DO220910,1-32,0,0,0,0
585,DO220881,1-32,0,0,0,0
586,DO220845,1-32,0,0,0,0
587,DO37659,1-32,0,0,0,0
588,DO220884,1-32,0,0,0,0
589,DO220894,1-32,0,0,0,0
590,DO220861,1-32,0,0,0,0
591,DO220871,1-32,0,0,0,2
592,DO220848,1-32,0,0,0,0
593,DO220860,1-32,0,0,0,0
594,DO37409,1-32,0,0,0,0
595,DO220859,1-32,0,0,0,0
596,DO220911,1-32,0,0,0,0
597,DO37587,1-32,0,0,0,3
598,DO37627,1-32,0,0,0,0
599,DO37418,1-32,0,0,0,0
600,DO220891,1-32,0,0,0,0
601,DO220841,1-32,0,0,0,2
602,DO220878,1-32,0,0,0,0
603,DO37445,1-32,0,0,0,1
604,DO220892,1-32,0,0,0,1
605,DO220913,1-32,0,0,0,0
606,DO37427,1-32,0,0,0,0
607,DO47331,1-32,0,0,0,0
608,DO220842,1-32,0,0,0,11
609,DO220846,1-32,0,0,0,2
610,DO220908,1-32,0,0,0,0
611,DO220879,1-32,0,0,0,0
612,DO220904,1-32,0,0,0,7
613,DO37750,1-32,0,0,0,0
614,DO220895,1-32,0,0,0,0
615,DO220849,1-32,0,0,0,3
616,DO220857,1-32,0,0,0,0
617,DO37426,1-32,0,0,0,0
618,DO37599,1-32,0,0,0,6
619,DO37719,1-32,0,0,0,12
620,DO220853,1-32,0,0,0,0
621,DO37758,1-32,0,0,0,5
622,DO220906,1-32,0,0,0,0
623,DO220865,1-32,0,0,0,0
624,DO37782,1-32,0,0,0,0
625,DO220882,1-32,0,0,0,0
626,DO220867,1-32,0,0,0,0
627,DO220850,1-32,0,0,0,0
628,DO220905,1-32,0,0,0,0
629,DO220880,1-32,0,0,0,0
630,DO220896,1-32,0,0,0,0
631,DO220873,1-32,0,0,0,0
632,DO47255,1-32,0,0,0,0
633,DO220852,1-32,0,0,0,0
634,DO38129,1-32,0,0,0,0
635,DO37723,1-32,0,0,0,1
636,DO37432,1-33,0,0,0,0
637,DO37827,1-33,0,0,0,0
638,DO220887,1-33,0,0,0,0
639,DO220872,1-33,0,0,0,0
640,DO47268,1-33,0,0,0,0
641,DO220889,1-33,0,0,0,0
642,DO37896,1-33,0,0,0,0
643,DO220862,1-33,0,0,0,0
644,DO220863,1-33,0,0,0,0
645,DO37435,1-33,0,0,0,0
646,DO47451,1-33,0,0,0,0
647,DO220885,1-33,0,0,0,0
648,DO220843,1-33,0,0,0,2
649,DO220870,1-33,0,0,0,2
650,DO220890,1-33,0,0,0,0
651,DO220855,1-33,0,0,0,0
652,DO220847,1-33,0,0,0,1
653,DO220901,1-33,0,0,0,0
654,DO37861,1-33,0,0,0,0
655,DO37515,1-33,0,0,0,0
656,DO220899,1-33,0,0,0,0
657,DO220907,1-33,0,0,0,0
658,DO220851,1-33,0,0,0,0
659,DO220900,1-33,0,0,0,0
660,DO220874,1-33,0,0,0,0
661,DO220875,1-33,0,0,0,0
662,DO220864,1-33,0,0,0,9
663,DO220869,1-33,0,0,0,1
664,DO220844,1-33,0,0,0,2
665,DO37425,1-33,0,0,0,0
666,DO220883,1-33,0,0,0,0
667,DO37439,1-33,0,0,0,0
668,DO51251,1-33,0,0,0,1
669,DO37474,1-33,0,0,0,0
670,DO37527,1-33,0,0,0,0
671,DO220866,1-33,0,0,0,6
672,DO37607,1-33,0,0,0,0
673,DO220903,1-33,0,0,0,0
674,DO220868,1-33,0,0,0,3
675,DO37946,1-33,0,0,0,0
676,DO47542,1-33,0,0,0,0
677,DO220893,1-33,0,0,0,0
678,DO220858,1-33,0,0,0,1
679,DO220888,1-33,0,0,0,0
680,DO220897,1-33,0,0,0,0
681,DO220886,1-33,0,0,0,0
682,DO220877,1-33,0,0,0,0
683,DO220902,1-33,0,0,0,0
684,DO37424,1-33,0,0,0,4
685,DO37531,1-33,0,0,0,0
686,DO37703,1-33,0,0,0,0
687,DO220912,1-33,0,0,0,0
688,DO37440,1-33,0,0,0,0
689,DO220898,1-33,0,0,0,0
690,DO220910,1-33,0,0,0,0
691,DO220881,1-33,0,0,0,0
692,DO220845,1-33,0,0,0,1
693,DO37659,1-33,0,0,0,0
694,DO220884,1-33,0,0,0,0
695,DO220894,1-33,0,0,0,0
696,DO220861,1-33,0,0,0,0
697,DO220871,1-33,0,0,0,0
698,DO220848,1-33,0,0,0,1
699,DO220860,1-33,0,0,0,0
700,DO37409,1-33,0,0,0,0
701,DO220859,1-33,0,0,0,0
702,DO220911,1-33,0,0,0,0
703,DO37587,1-33,0,0,0,3
704,DO37627,1-33,0,0,0,0
705,DO37418,1-33,0,0,0,0
706,DO220891,1-33,0,0,0,0
707,DO220841,1-33,0,0,0,0
708,DO220878,1-33,0,0,0,0
709,DO37445,1-33,0,0,0,0
710,DO220892,1-33,0,0,0,2
711,DO220913,1-33,0,0,0,0
712,DO37427,1-33,0,0,0,3
713,DO47331,1-33,0,0,0,0
714,DO220842,1-33,0,0,0,8
715,DO220846,1-33,0,0,0,3
716,DO220908,1-33,0,0,0,0
717,DO220879,1-33,0,0,0,0
718,DO220904,1-33,0,0,0,2
719,DO37750,1-33,0,0,0,0
720,DO220895,1-33,0,0,0,0
721,DO220849,1-33,0,0,0,2
722,DO220857,1-33,0,0,0,0
723,DO37426,1-33,0,0,0,0
724,DO37599,1-33,0,0,0,5
725,DO37719,1-33,0,0,0,23
726,DO220853,1-33,0,0,0,0
727,DO37758,1-33,0,0,0,4
728,DO220906,1-33,0,0,0,0
729,DO220865,1-33,0,0,0,2
730,DO37782,1-33,0,0,0,0
731,DO220882,1-33,0,0,0,0
732,DO220867,1-33,0,0,0,3
