,gene,expr,reptime,hic,N_nonsilent,N_silent,N_noncoding,n_nonsilent,n_silent,n_noncoding,nnei,x,X,p,q,feature
37,BCR,384444.0,575.0,43.0,272189,79903,13988481,13,4,30,0,30,13988481,6.774497e-05,0.03397507,Lymph-BNHL
38,TFAP4,944378.0,161.0,33.0,68651,21116,1471281,4,0,3,19,143,73913467,6.892212e-05,0.03397507,Lymph-BNHL
39,HLA-A,983517.0,596.0,36.0,78490,24570,363500,5,2,1,16,222,106203624,0.00019664259999999998,0.09026902,Lymph-BNHL
40,RAC2,845055.0,230.0,67.0,46169,14661,1851179,4,0,5,3,9,6285989,0.00019720669999999998,0.09026902,Lymph-BNHL
41,FAS,187494.0,375.0,39.0,83919,22423,2538151,4,0,7,17,385,152652367,0.00020539189999999998,0.09182929,Lymph-BNHL
42,RB1,349930.0,450.0,41.0,70774,19587,5533498,4,0,8,18,39,37949846,0.0,0.0,Bone-Osteosarc
43,TP53,2069567.0,213.0,34.0,28857,8853,578713,13,0,5,5,6,1093368,0.0,0.0,Bone-Osteosarc
44,ATRX,548517.0,,8.0,483570,121986,22183551,11,0,17,17,83,92815466,0.0,0.0,Panc-Endocrine
45,PTEN,259678.0,300.0,34.0,78478,19439,8706357,7,0,10,5,12,14656836,0.0,0.0,Panc-Endocrine
46,MEN1,2261775.0,230.0,61.0,108247,35739,418965,31,0,2,0,2,418965,1.5543120000000002e-15,9.960551e-12,Panc-Endocrine
47,DAXX,1456953.0,262.0,30.0,136716,42476,180150,15,0,1,4,1,1076835,3.908318e-12,1.8784349999999997e-08,Panc-Endocrine
48,FGFR1,841062.0,381.0,47.0,166022,50112,4815731,6,0,0,11,0,69814791,0.0,0.0,CNS-PiloAstro
49,KRAS,259193.0,512.0,16.0,39993,10401,3573697,4,0,0,26,12,123481131,0.0,0.0,CNS-PiloAstro
50,NF1,462449.0,396.0,26.0,585925,166671,24107616,5,0,0,1,0,25467180,3.8557650000000005e-06,0.02470903,CNS-PiloAstro
51,BRAF,305191.0,616.0,25.0,147685,44384,16604489,6,0,39,0,39,16604489,5.3451689999999994e-06,0.02569022,CNS-PiloAstro
52,IDH1,260367.0,539.0,17.0,17505,4635,315052,16,0,0,29,25,28841228,0.0,0.0,CNS-Oligo
53,CIC,790787.0,299.0,37.0,62783,23296,112306,11,0,0,19,3,5050288,7.394085e-14,7.107565e-10,CNS-Oligo
54,ATRX,548517.0,,8.0,107460,27108,4929678,6,0,6,22,19,26860635,6.421297e-10,4.114981e-06,CNS-Oligo
55,TP53,2069567.0,213.0,34.0,16012,4911,318146,8,0,0,4,0,576558,1.7799010000000001e-06,0.00855465,CNS-Oligo
56,FUBP1,373296.0,256.0,1.0,24242,7478,465591,4,0,2,3,7,3225830,6.3268650000000005e-06,0.02432679,CNS-Oligo
57,TCF12,203021.0,599.0,27.0,29283,8812,6528818,2,0,4,10,11,17160388,1.07225e-05,0.03435667,CNS-Oligo
58,NRAS,600650.0,472.0,11.0,5783,1582,150436,3,0,0,28,9,21741464,8.795931999999999e-07,0.01691018,Myeloid-AML
59,BRAF,305191.0,616.0,25.0,183384,55314,19807793,58,0,204,0,204,19807793,0.0,0.0,Skin-Melanoma
60,CDKN2A,225405.0,357.0,-15.0,29911,10805,524652,25,2,5,0,5,524652,0.0,0.0,Skin-Melanoma
61,FAM196B,,,,130260,38373,12158433,8,2,5,0,5,12158433,0.0,0.0,Skin-Melanoma
62,HBE1,109545.0,1056.0,-1.0,36133,10600,24786994,7,0,4,0,4,24786994,0.0,0.0,Skin-Melanoma
63,PTEN,259678.0,300.0,34.0,98463,24437,10939200,13,0,106,1,111,11590146,0.0,0.0,Skin-Melanoma
64,NRAS,600650.0,472.0,11.0,47146,12922,1238826,25,0,19,0,19,1238826,2.220446e-16,2.246741e-13,Skin-Melanoma
65,TP53,2069567.0,213.0,34.0,92565,28379,1840582,20,0,17,2,22,2540200,3.18406e-09,2.9149310000000005e-06,Skin-Melanoma
66,UGT1A4,,,,130277,39255,5510352,9,3,1,0,1,5510352,7.877499e-08,6.88386e-05,Skin-Melanoma
67,UGT1A7,,,,130581,37804,9406236,6,1,0,0,0,9406236,5.578208e-07,0.0004662654,Skin-Melanoma
68,NACA,2637730.0,154.0,47.0,52496,15348,1465580,12,6,7,0,7,1465580,5.948496e-07,0.0004764993,Skin-Melanoma
69,XIRP2,7405.0,1014.0,-18.0,246685,61988,38303293,69,28,2425,0,2425,38303293,7.302304000000001e-07,0.0005615472,Skin-Melanoma
70,VCAN,253331.0,529.0,0.0,163127,45014,11272290,25,4,200,0,200,11272290,8.888199e-07,0.0006572139999999999,Skin-Melanoma
71,NF1,462449.0,396.0,26.0,699951,199102,28734448,20,2,285,3,338,35612364,8.994057e-05,0.04744923,Skin-Melanoma
72,CUZD1,301441.0,588.0,12.0,149352,42166,4807064,11,4,71,1,242,18508836,9.078064e-05,0.04744923,Skin-Melanoma
73,NEBL,71095.0,484.0,-19.0,68272,17328,40867038,20,8,2663,0,2663,40867038,0.0001191361,0.05929956,Skin-Melanoma
74,RTN4,913521.0,362.0,11.0,48669,14358,3984538,8,0,76,2,117,6932689,0.0001202956,0.05929956,Skin-Melanoma
75,KIAA2018,453036.0,419.0,24.0,549753,162307,4348580,23,0,61,2,293,22911750,0.000145418,0.06989153,Skin-Melanoma
76,SLA,,,,67168,20555,6932230,5,0,8,0,8,6932230,0.0001888343,0.08854487,Skin-Melanoma
77,GSE1,422186.0,213.0,37.0,337893,108515,7526816,4,0,3,10,29,66680374,0.0,0.0,CNS-Medullo
78,KBTBD4,995645.0,214.0,31.0,164666,49483,713227,7,0,0,47,68,189988497,0.0,0.0,CNS-Medullo
79,PRKAR1A,662487.0,313.0,-28.0,124587,36284,2760494,6,0,2,32,74,167810211,0.0,0.0,CNS-Medullo
80,PTCH1,186893.0,510.0,53.0,458382,141893,8280059,22,0,4,3,9,26741833,0.0,0.0,CNS-Medullo
81,RBBP5,655446.0,431.0,37.0,174793,50279,4792011,2,0,2,13,25,75067811,0.0,0.0,CNS-Medullo
82,TCF4,92114.0,936.0,12.0,218494,65976,50194599,5,0,22,1,29,59971962,0.0,0.0,CNS-Medullo
83,KMT2D,,,,1690827,563236,2688924,15,0,1,5,16,28836892,2.1641379999999997e-09,5.943651e-06,CNS-Medullo
84,DDX3X,627364.0,,54.0,219255,60771,2090466,18,0,3,0,3,2090466,9.833584999999999e-09,2.3631329999999997e-05,CNS-Medullo
85,CTDNEP1,1782958.0,316.0,21.0,65856,20075,940754,5,0,0,5,0,3207522,4.134241e-07,0.0008831197,CNS-Medullo
86,SMO,811174.0,420.0,54.0,229823,73827,3083342,8,0,0,3,4,11376148,2.8935180000000004e-06,0.005562788000000001,CNS-Medullo
87,TP53,2069567.0,213.0,34.0,11679,3584,231683,7,0,0,4,0,436786,2.3792679999999997e-07,0.004574143,SoftTissue-Leiomyo
88,RB1,349930.0,450.0,41.0,29566,8190,2293063,4,0,1,0,1,2293063,6.533766e-07,0.006280583,SoftTissue-Leiomyo
89,TP53,2069567.0,213.0,34.0,29427,9033,563165,10,0,5,39,63,11116878,7.144401e-10,1.3735109999999999e-05,Biliary-AdenoCA
90,TP53,2069567.0,213.0,34.0,38635,11843,761413,5,0,1,47,6,21832804,0.0,0.0,Kidney-ChRCC
91,ATM,415837.0,582.0,16.0,635706,168690,11744574,14,0,4,4,11,21942730,0.0,0.0,Lymph-CLL
92,MYD88,302137.0,411.0,32.0,55836,17687,306729,3,0,0,50,186,347790364,0.0,0.0,Lymph-CLL
93,NOTCH1,1489379.0,212.0,43.0,385810,116326,2848732,4,0,3,32,32,71371309,0.0,0.0,Lymph-CLL
94,RANBP3L,213853.0,402.0,5.0,103025,28552,4527632,2,0,3,9,21,46386101,0.0,0.0,Lymph-CLL
95,SF3B1,736523.0,276.0,30.0,268731,78266,3663779,9,0,1,50,62,142712223,0.0,0.0,Lymph-CLL
96,NXF1,2405109.0,248.0,44.0,124384,36800,1038330,4,0,0,48,23,62025250,8.496017000000001e-06,0.02585504,Lymph-CLL
97,TP53,2069567.0,213.0,34.0,76089,23346,1469062,7,0,0,4,0,2633568,9.414058e-06,0.02585504,Lymph-CLL
98,CDKN2A,225405.0,357.0,-15.0,15592,5630,271152,12,0,5,1,20,1513268,0.0,0.0,Lung-SCC
99,TP53,2069567.0,213.0,34.0,41952,12865,830989,42,0,2,1,3,1093296,1.110223e-15,1.067202e-11,Lung-SCC
100,NOTCH1,1489379.0,212.0,43.0,263967,79041,1941568,17,2,11,0,11,1941568,6.035131e-06,0.03867513,Lung-SCC
101,NFE2L2,372300.0,145.0,36.0,64593,17245,1476576,20,0,66,0,66,1476576,1.2889329999999999e-05,0.06194934,Lung-SCC
102,C19orf35,1603571.0,240.0,27.0,12596,4941,77366,2,0,0,50,22,12125434,0.0,0.0,Breast-LobularCA
103,CDH1,924096.0,240.0,30.0,26025,8011,1230402,7,0,3,3,3,1567537,4.1684990000000003e-11,4.0069699999999995e-07,Breast-LobularCA
104,KMT2C,,,,149047,43306,3639779,4,0,12,20,30,12388656,6.363812e-06,0.04078143,Breast-LobularCA
105,ARID1A,975965.0,182.0,27.0,503865,155699,7663395,21,0,19,6,100,35334921,0.0,0.0,Eso-AdenoCA
106,CDKN2A,225405.0,357.0,-15.0,34609,12561,597397,15,0,4,2,18,4311139,0.0,0.0,Eso-AdenoCA
107,GIMAP1,734961.0,689.0,14.0,66600,22131,660356,2,0,1,12,262,52622388,0.0,0.0,Eso-AdenoCA
108,TP53,2069567.0,213.0,34.0,87329,26807,1738828,85,0,5,2,7,2407016,1.5543120000000002e-15,7.470413e-12,Eso-AdenoCA
109,SMAD4,156084.0,422.0,41.0,124534,35834,5196803,17,0,21,0,21,5196803,1.149414e-12,4.419496e-09,Eso-AdenoCA
110,APC,247811.0,399.0,28.0,645041,182260,12616198,13,2,40,3,79,27892967,5.4020010000000005e-09,1.730891e-05,Eso-AdenoCA
111,EEF1A2,1262904.0,298.0,54.0,102655,31411,937125,7,0,3,12,111,32778506,2.6487729999999996e-05,0.07274667,Eso-AdenoCA
112,FCGR1A,,,,117478,34566,1061633,2,0,2,5,70,27780901,0.0,0.0,Kidney-RCC
113,PBRM1,1217701.0,231.0,47.0,560364,152114,17699096,56,2,30,5,104,53344253,0.0,0.0,Kidney-RCC
114,PTEN,259678.0,300.0,34.0,137623,34094,15135856,9,0,38,2,41,16545264,0.0,0.0,Kidney-RCC
115,SETD2,593886.0,365.0,46.0,829792,231684,19441484,23,0,29,2,38,25413752,0.0,0.0,Kidney-RCC
116,VHL,825905.0,170.0,39.0,61232,19567,1454948,87,0,6,1,9,3050069,0.0,0.0,Kidney-RCC
117,WWP1,193108.0,1112.0,-6.0,306503,84329,17197641,5,0,39,16,277,150628204,0.0,0.0,Kidney-RCC
118,BAP1,1078407.0,229.0,62.0,235604,73536,945790,10,1,0,2,7,3949204,1.356461e-09,3.7254239999999998e-06,Kidney-RCC
119,BRAF,305191.0,616.0,25.0,83919,25335,8998746,10,0,5,42,68,145527746,0.0,0.0,Thy-AdenoCA
120,PDK3,512129.0,,34.0,45456,13008,3263376,3,0,1,5,10,24882657,5.045173e-06,0.04849673,Thy-AdenoCA
121,ACVR1B,493265.0,371.0,27.0,263021,78886,10054172,7,0,10,2,70,49871139,0.0,0.0,Panc-AdenoCA
122,ARID1A,975965.0,182.0,27.0,1164921,358390,18106979,25,0,25,2,51,36212507,0.0,0.0,Panc-AdenoCA
123,BRAF,305191.0,616.0,25.0,401537,120904,43133176,6,1,61,4,93,62209904,0.0,0.0,Panc-AdenoCA
124,CDKN2A,225405.0,357.0,-15.0,70364,25547,1206578,53,0,4,6,207,112512031,0.0,0.0,Panc-AdenoCA
125,COPS3,910162.0,218.0,11.0,224996,60665,7558995,3,0,13,3,33,23535425,0.0,0.0,Panc-AdenoCA
126,ESX1,354255.0,,47.0,209760,70380,845940,8,0,2,5,95,71979643,0.0,0.0,Panc-AdenoCA
127,KDM6A,59340.0,,36.0,752100,214590,54024240,9,0,68,2,68,55223820,0.0,0.0,Panc-AdenoCA
128,KRAS,259193.0,512.0,16.0,103465,26901,9341627,204,0,15,9,143,100385656,0.0,0.0,Panc-AdenoCA
129,MAP2K4,45834.0,583.0,-52.0,213437,58404,27467327,10,0,35,0,35,27467327,0.0,0.0,Panc-AdenoCA
130,NGLY1,216966.0,701.0,-1.0,350190,97793,14303147,3,1,18,3,97,72664263,0.0,0.0,Panc-AdenoCA
131,RBM10,819569.0,,38.0,494270,147430,9005190,8,1,9,6,49,39066533,0.0,0.0,Panc-AdenoCA
132,RNF43,782135.0,399.0,22.0,404530,132020,14288044,11,0,15,0,15,14288044,0.0,0.0,Panc-AdenoCA
133,SMAD4,156084.0,422.0,41.0,281845,81085,11654399,59,0,53,0,53,11654399,0.0,0.0,Panc-AdenoCA
134,TGFBR2,80018.0,417.0,-9.0,304073,84709,19657284,9,1,35,9,205,113187737,0.0,0.0,Panc-AdenoCA
135,TP53,2069567.0,213.0,34.0,204124,62647,4058981,175,0,6,0,6,4058981,2.442491e-15,2.608716e-12,Panc-AdenoCA
136,SETD2,593886.0,365.0,46.0,1373482,382681,31907900,8,1,26,0,26,31907900,1.0375510000000002e-05,0.01049838,Panc-AdenoCA
137,ACVR2A,90992.0,951.0,-2.0,277396,75660,19446662,6,0,29,0,29,19446662,2.5668240000000002e-05,0.0246736,Panc-AdenoCA
138,VCAN,253331.0,529.0,0.0,353930,97667,24468695,8,1,29,0,29,24468695,9.970588e-05,0.09127836,Panc-AdenoCA
139,LCE6A,,,,6712,1904,31485,2,0,0,50,1072,111702755,0.0,0.0,Lung-AdenoCA
140,MET,558228.0,262.0,2.0,117320,33396,4186742,5,0,20,15,249,44504560,0.0,0.0,Lung-AdenoCA
141,TP53,2069567.0,213.0,34.0,31722,9728,629445,14,0,2,6,7,1574175,2.651213e-13,1.6989849999999998e-09,Lung-AdenoCA
142,KEAP1,1996822.0,207.0,30.0,49447,14719,548892,9,0,2,16,35,7682204,9.916752000000001e-08,0.0004766239,Lung-AdenoCA
143,STK11,2214581.0,234.0,29.0,34723,10209,716974,7,0,6,18,45,7326205,5.993326e-07,0.002068367,Lung-AdenoCA
144,KRAS,259193.0,512.0,16.0,15465,4027,1368195,7,0,4,0,4,1368195,6.455243000000001e-07,0.002068367,Lung-AdenoCA
145,ARID1A,975965.0,182.0,27.0,1132367,337073,23206393,27,0,76,6,367,98852950,0.0,0.0,Liver-HCC
146,ARID2,820796.0,602.0,10.0,1256588,382843,52751689,29,2,186,2,268,78311850,0.0,0.0,Liver-HCC
147,AXIN1,1444992.0,205.0,40.0,390574,121596,14414877,25,2,36,0,36,14414877,0.0,0.0,Liver-HCC
148,BAP1,1078407.0,229.0,62.0,446590,140331,1627992,13,1,4,23,348,100662633,0.0,0.0,Liver-HCC
149,BRD7,303953.0,520.0,14.0,467137,120441,14465038,9,0,33,7,193,73426078,0.0,0.0,Liver-HCC
150,CTNNB1,305811.0,448.0,8.0,556555,171348,12635673,88,0,59,0,59,12635673,0.0,0.0,Liver-HCC
151,DPCR1,2483101.0,261.0,36.0,164833,53634,3811435,11,1,18,8,44,11148964,0.0,0.0,Liver-HCC
152,EEF1A1,716887.0,139.0,38.0,327195,97757,1062317,7,1,3,38,977,385255300,0.0,0.0,Liver-HCC
153,PTEN,259678.0,300.0,34.0,293454,72710,32599337,7,0,118,5,190,54910893,0.0,0.0,Liver-HCC
154,RB1,349930.0,450.0,41.0,632283,172936,50427026,13,0,111,1,124,54974619,0.0,0.0,Liver-HCC
155,RPL22,627248.0,240.0,31.0,83951,20514,4005059,5,0,9,2,28,10580718,0.0,0.0,Liver-HCC
156,RPL5,582788.0,274.0,4.0,217075,57811,2689888,6,0,9,19,1375,446506832,0.0,0.0,Liver-HCC
157,RPS6KA3,242944.0,,36.0,540696,151944,35789520,13,0,124,2,130,37718619,0.0,0.0,Liver-HCC
158,SPATA19,270077.0,622.0,-14.0,109817,31789,1253418,5,1,5,23,1954,484573795,0.0,0.0,Liver-HCC
159,TP53,2069567.0,213.0,34.0,253402,77707,4491998,99,1,13,2,16,5804455,0.0,0.0,Liver-HCC
160,XIRP2,7405.0,1014.0,-18.0,709943,178415,110774506,30,8,883,0,883,110774506,0.0,0.0,Liver-HCC
161,ZNF358,609287.0,308.0,36.0,145949,49360,732144,2,0,2,49,1966,641120505,0.0,0.0,Liver-HCC
162,VCAN,253331.0,529.0,0.0,478169,131819,32549128,16,6,164,0,164,32549128,2.6755559999999996e-05,0.02057503,Liver-HCC
163,ACVR2A,90992.0,951.0,-2.0,357432,96861,25753393,8,0,83,3,324,112159743,3.120712e-05,0.02307527,Liver-HCC
164,TNRC6B,502506.0,484.0,34.0,709084,213334,87288165,10,2,265,0,265,87288165,5.852626e-05,0.04167286,Liver-HCC
165,TSC2,1722112.0,181.0,44.0,598018,191144,6352803,9,1,20,1,33,13673259,6.495085e-05,0.04459572,Liver-HCC
166,CDKN1A,904665.0,228.0,37.0,80983,28039,1987819,8,0,10,1,12,2958865,0.0001001884,0.06420409,Liver-HCC
167,CYP2E1,563924.0,525.0,-10.0,295924,84616,4611061,5,1,2,1,2,7348553,0.0001286807,0.07980281,Liver-HCC
168,PIK3CA,401889.0,613.0,11.0,108835,28663,3780383,21,0,28,10,289,39852501,0.0,0.0,Uterus-AdenoCA
169,PTEN,259678.0,300.0,34.0,38601,9563,4278352,21,0,36,5,56,7414249,0.0,0.0,Uterus-AdenoCA
170,TP53,2069567.0,213.0,34.0,37751,11586,752653,34,0,9,4,13,1342304,0.0,0.0,Uterus-AdenoCA
171,PIK3R1,48999.0,619.0,32.0,73500,19802,3569067,15,0,24,1,113,13457735,4.762857e-14,2.289148e-10,Uterus-AdenoCA
172,ARHGAP35,1201856.0,207.0,29.0,149705,41605,3462354,10,0,28,0,28,3462354,6.623538999999999e-06,0.02546751,Uterus-AdenoCA
173,PPP2R1A,478211.0,896.0,-38.0,54179,17502,1517502,8,0,9,7,30,5501327,1.697905e-05,0.05440372,Uterus-AdenoCA
174,ARID1A,975965.0,182.0,27.0,202891,61803,3373210,11,0,30,2,54,6731489,2.4839020000000002e-05,0.06821861,Uterus-AdenoCA
175,ARAP1,637045.0,234.0,54.0,183471,59507,3514461,3,1,14,9,112,32479498,0.0,0.0,Head-SCC
176,CDKN2A,225405.0,357.0,-15.0,19929,7221,341643,13,0,1,25,387,107524646,0.0,0.0,Head-SCC
177,TP53,2069567.0,213.0,34.0,50163,15391,996761,38,0,3,2,3,1380651,1.110223e-16,7.114679e-13,Head-SCC
178,NOTCH1,1489379.0,212.0,43.0,324533,97128,2418124,13,2,11,4,32,6543718,5.087746e-07,0.002445298,Head-SCC
179,PIK3CA,401889.0,613.0,11.0,141724,37338,4934737,12,1,28,0,28,4934737,6.537338999999999e-06,0.02094672,Head-SCC
180,TP53,2069567.0,213.0,34.0,34709,10637,686634,14,0,1,2,1,944524,3.106296e-10,5.971855000000001e-06,CNS-GBM
181,EGFR,423489.0,336.0,-13.0,109052,30869,7345376,26,0,167,0,167,7345376,7.169052e-09,6.891251e-05,CNS-GBM
182,PTEN,259678.0,300.0,34.0,28581,7101,3304721,7,0,6,0,6,3304721,1.9347799999999998e-08,0.0001239871,CNS-GBM
183,ATRX,548517.0,,8.0,232830,58734,10680969,7,0,48,15,144,35809601,5.706708e-06,0.02742786,CNS-GBM
184,KDM6A,59340.0,,36.0,75210,21459,5402424,10,0,32,3,54,9916172,2.556322e-11,4.914529e-07,Bladder-TCC
185,TP53,2069567.0,213.0,34.0,19868,6084,397931,10,0,4,13,6,1306548,5.137851999999999e-09,4.9387609999999995e-05,Bladder-TCC
186,CDKN1A,904665.0,228.0,37.0,8412,2896,185014,4,0,1,29,116,12105205,5.259846999999999e-07,0.003370685,Bladder-TCC
187,ARID1A,975965.0,182.0,27.0,118812,36722,1809177,6,0,16,8,58,8530307,1.919642e-05,0.07966601,Bladder-TCC
188,RB1,349930.0,450.0,41.0,48641,13511,3805971,5,0,20,8,94,16414926,2.0719380000000002e-05,0.07966601,Bladder-TCC
189,APC,247811.0,399.0,28.0,343649,97081,6629929,91,3,310,3,675,14698320,0.0,0.0,ColoRect-AdenoCA
190,KRAS,259193.0,512.0,16.0,23332,6061,2064339,30,0,82,5,313,7618557,0.0,0.0,ColoRect-AdenoCA
191,TP53,2069567.0,213.0,34.0,42987,13223,851316,34,1,27,2,35,1167408,0.0,0.0,ColoRect-AdenoCA
192,PIK3CA,401889.0,613.0,11.0,131158,34501,4528539,31,2,243,1,250,4637396,9.083373e-08,0.0002182848,ColoRect-AdenoCA
193,FILIP1L,267848.0,573.0,10.0,138318,36391,13479769,7,0,0,0,0,13479769,3.2332679999999996e-07,0.0006906619000000001,ColoRect-AdenoCA
194,FAM196B,,,,63647,18734,5926988,8,2,3,0,3,5926988,6.751831e-07,0.00129804,ColoRect-AdenoCA
195,FBXW7,117295.0,501.0,51.0,85130,23557,10747209,14,0,512,0,512,10747209,1.6965809999999999e-06,0.002718065,ColoRect-AdenoCA
196,SOX9,159643.0,606.0,-41.0,50092,14622,178625,8,0,13,8,1133,14256689,2.382454e-06,0.003074175,ColoRect-AdenoCA
197,SMAD4,156084.0,422.0,41.0,62336,17913,2580708,13,0,101,0,101,2580708,2.398576e-06,0.003074175,ColoRect-AdenoCA
198,SLC4A5,1065336.0,272.0,45.0,134789,40818,5996569,8,2,0,0,0,5996569,9.823846e-06,0.009443172,ColoRect-AdenoCA
199,ACVR2A,90992.0,951.0,-2.0,60972,16565,4342064,10,0,223,1,1042,18732128,6.655931999999999e-05,0.05118412,ColoRect-AdenoCA
200,B2M,673122.0,428.0,36.0,14516,4210,226130,8,0,15,1,120,2118970,7.033861999999999e-05,0.05201,ColoRect-AdenoCA
201,TP53,2069567.0,213.0,34.0,97330,29853,1934680,107,0,10,2,16,2671765,3.330669e-16,6.403211e-12,Ovary-AdenoCA
202,RB1,349930.0,450.0,41.0,229955,63722,18020835,7,0,33,6,83,41960942,2.6482509999999996e-08,0.0002545631,Ovary-AdenoCA
203,TP53,2069567.0,213.0,34.0,60058,18413,1181592,30,0,9,50,304,45155485,0.0,0.0,Stomach-AdenoCA
204,ARID1A,975965.0,182.0,27.0,337730,103548,5289474,11,0,25,29,351,63270361,2.6046789999999995e-07,0.002503748,Stomach-AdenoCA
205,PIK3CA,401889.0,613.0,11.0,172111,45336,5960402,15,0,35,10,384,63309103,1.100134e-06,0.007050029,Stomach-AdenoCA
206,PLK1,530660.0,509.0,35.0,93456,28956,651482,7,0,3,16,504,84455912,6.878807e-06,0.03306127,Stomach-AdenoCA
207,P2RY12,51795.0,505.0,10.0,54058,15706,3133376,4,0,0,0,0,3133376,2.4316020000000004e-05,0.09349509,Stomach-AdenoCA
